Date,Store,Dept,Weekly_Sales
2012-11-02,1,1,33395.90350000001
2012-11-02,1,2,47914.71230000002
2012-11-02,1,3,10933.672699999997
2012-11-02,1,4,38065.69539999998
2012-11-02,1,5,31506.107599999992
2012-11-02,1,6,4838.097800000006
2012-11-02,1,7,24863.284
2012-11-02,1,8,38630.15690000001
2012-11-02,1,9,41955.06330000003
2012-11-02,1,10,31155.835600000006
2012-11-02,1,11,25874.7691
2012-11-02,1,12,9945.416100000006
2012-11-02,1,13,42870.76430000002
2012-11-02,1,14,14328.090100000005
2012-11-02,1,16,6127.773999999999
2012-11-02,1,17,8261.922099999998
2012-11-02,1,18,12835.7794
2012-11-02,1,19,1000.7049000000001
2012-11-02,1,20,3536.8582000000006
2012-11-02,1,21,8512.495500000005
2012-11-02,1,22,8031.794200000007
2012-11-02,1,23,23412.244799999986
2012-11-02,1,24,6362.648999999993
2012-11-02,1,25,10837.4303
2012-11-02,1,26,7942.9306
2012-11-02,1,27,1877.7154000000007
2012-11-02,1,28,790.5579999999999
2012-11-02,1,29,4763.609199999998
2012-11-02,1,30,2498.0421
2012-11-02,1,31,1978.6428
2012-11-02,1,32,6575.020999999996
2012-11-02,1,33,6589.177399999995
2012-11-02,1,34,11752.13490000001
2012-11-02,1,35,2509.5007999999993
2012-11-02,1,36,2171.202399999999
2012-11-02,1,37,2906.0699999999983
2012-11-02,1,38,86859.09770000001
2012-11-02,1,40,62954.93299999999
2012-11-02,1,41,1283.128
2012-11-02,1,42,8272.032499999996
2012-11-02,1,44,5929.756599999997
2012-11-02,1,46,18637.01100000001
2012-11-02,1,48,2361.3
2012-11-02,1,49,10232.189699999994
2012-11-02,1,52,2190.3767999999995
2012-11-02,1,55,13466.891800000005
2012-11-02,1,56,1194.6712000000005
2012-11-02,1,58,3227.3796999999995
2012-11-02,1,59,640.3864999999995
2012-11-02,1,60,1235.4800000000007
2012-11-02,1,67,6582.988700000003
2012-11-02,1,71,2448.0858000000003
2012-11-02,1,72,55534.69580000003
2012-11-02,1,74,9575.3311
2012-11-02,1,79,44294.64359999997
2012-11-02,1,80,18958.068600000002
2012-11-02,1,81,31106.004599999986
2012-11-02,1,82,20038.410599999992
2012-11-02,1,83,5649.630299999998
2012-11-02,1,85,3234.6890999999987
2012-11-02,1,87,59084.0214
2012-11-02,1,90,89450.53770000004
2012-11-02,1,91,65070.24560000002
2012-11-02,1,92,100000.0
2012-11-02,1,93,76762.62089999998
2012-11-02,1,94,61460.52340000003
2012-11-02,1,95,100000.0
2012-11-02,1,96,32938.60579999998
2012-11-02,1,97,34493.6612
2012-11-02,1,98,13167.2141
2012-11-02,1,99,111.58430000000007
2012-11-09,1,1,20207.840099999994
2012-11-09,1,2,47442.95830000003
2012-11-09,1,3,11143.161399999999
2012-11-09,1,4,37638.02810000001
2012-11-09,1,5,39000.5
2012-11-09,1,6,4025.7331000000013
2012-11-09,1,7,26892.920900000016
2012-11-09,1,8,38275.21359999999
2012-11-09,1,9,35303.25899999997
2012-11-09,1,10,32263.32230000001
2012-11-09,1,11,23405.346800000007
2012-11-09,1,12,10292.632900000004
2012-11-09,1,13,41082.53090000002
2012-11-09,1,14,17358.648200000007
2012-11-09,1,16,6532.001899999998
2012-11-09,1,17,8655.125300000002
2012-11-09,1,18,11120.744300000004
2012-11-09,1,19,965.240700000001
2012-11-09,1,20,3586.929400000002
2012-11-09,1,21,8304.661000000004
2012-11-09,1,22,8316.003600000005
2012-11-09,1,23,21629.935199999993
2012-11-09,1,24,5891.392999999998
2012-11-09,1,25,10250.797199999992
2012-11-09,1,26,7602.2831000000015
2012-11-09,1,27,1735.4695000000002
2012-11-09,1,28,715.2526000000005
2012-11-09,1,29,4645.140700000001
2012-11-09,1,30,2517.2121000000006
2012-11-09,1,31,1615.7307999999978
2012-11-09,1,32,6731.473799999995
2012-11-09,1,33,6470.940199999995
2012-11-09,1,34,11539.917600000004
2012-11-09,1,35,2472.2418999999995
2012-11-09,1,36,1614.2758000000008
2012-11-09,1,37,3004.1019999999994
2012-11-09,1,38,80320.0265
2012-11-09,1,40,60797.80539999999
2012-11-09,1,41,1063.8075000000003
2012-11-09,1,42,8323.198099999994
2012-11-09,1,44,5980.622399999996
2012-11-09,1,46,18041.47899999999
2012-11-09,1,48,2227.52
2012-11-09,1,49,9830.48379999999
2012-11-09,1,52,2087.850500000001
2012-11-09,1,55,18248.225300000016
2012-11-09,1,56,1276.0083
2012-11-09,1,58,3677.6890999999996
2012-11-09,1,59,731.6660000000006
2012-11-09,1,60,1150.594
2012-11-09,1,67,6223.3996
2012-11-09,1,71,2572.2088
2012-11-09,1,72,48648.60780000001
2012-11-09,1,74,9625.986899999998
2012-11-09,1,79,40716.6437
2012-11-09,1,80,19591.51209999998
2012-11-09,1,81,31166.64149999998
2012-11-09,1,82,19994.159800000005
2012-11-09,1,83,6409.168399999999
2012-11-09,1,85,3042.3184999999985
2012-11-09,1,87,56643.17939999998
2012-11-09,1,90,92083.49270000008
2012-11-09,1,91,72442.82870000004
2012-11-09,1,92,100000.0
2012-11-09,1,93,83135.20199999995
2012-11-09,1,94,61631.37629999999
2012-11-09,1,95,100000.0
2012-11-09,1,96,33005.38719999999
2012-11-09,1,97,36640.06320000001
2012-11-09,1,98,13514.599500000002
2012-11-09,1,99,60.93430000000006
2012-11-16,1,1,20003.34530000001
2012-11-16,1,2,44357.45759999999
2012-11-16,1,3,11201.899400000002
2012-11-16,1,4,38900.71930000002
2012-11-16,1,5,29616.701100000002
2012-11-16,1,6,3428.874100000001
2012-11-16,1,7,26262.128700000023
2012-11-16,1,8,36346.0214
2012-11-16,1,9,35774.38049999999
2012-11-16,1,10,32390.1825
2012-11-16,1,11,26625.333600000016
2012-11-16,1,12,8689.834399999998
2012-11-16,1,13,38100.9995
2012-11-16,1,14,17624.08459999999
2012-11-16,1,16,5801.696000000002
2012-11-16,1,17,9131.931599999996
2012-11-16,1,18,13006.903300000005
2012-11-16,1,19,1001.2127000000004
2012-11-16,1,20,3536.748000000001
2012-11-16,1,21,8404.4133
2012-11-16,1,22,7403.669700000001
2012-11-16,1,23,23130.0953
2012-11-16,1,24,6124.7401999999975
2012-11-16,1,25,10184.0922
2012-11-16,1,26,7637.021600000002
2012-11-16,1,27,1799.8165000000017
2012-11-16,1,28,744.0380000000004
2012-11-16,1,29,6163.506699999997
2012-11-16,1,30,2283.912900000001
2012-11-16,1,31,1605.3829999999994
2012-11-16,1,32,6158.1191
2012-11-16,1,33,6045.985199999999
2012-11-16,1,34,12311.065099999996
2012-11-16,1,35,2508.5640999999996
2012-11-16,1,36,2073.3503000000005
2012-11-16,1,37,2752.1411000000003
2012-11-16,1,38,77983.34010000006
2012-11-16,1,40,60549.89710000003
2012-11-16,1,41,1284.5593000000001
2012-11-16,1,42,7618.531699999996
2012-11-16,1,44,6119.204799999998
2012-11-16,1,46,17974.233199999988
2012-11-16,1,48,2536.41
2012-11-16,1,49,10082.22939999999
2012-11-16,1,52,2044.9269000000006
2012-11-16,1,54,33.114400000000025
2012-11-16,1,55,19577.991
2012-11-16,1,56,1045.965
2012-11-16,1,58,4124.5294
2012-11-16,1,59,733.9002000000002
2012-11-16,1,60,910.4839999999999
2012-11-16,1,67,7231.865500000003
2012-11-16,1,71,2459.2076
2012-11-16,1,72,42677.364899999986
2012-11-16,1,74,9883.6598
2012-11-16,1,79,32347.223300000016
2012-11-16,1,80,19233.367299999998
2012-11-16,1,81,30699.17999999998
2012-11-16,1,82,20274.0653
2012-11-16,1,83,5698.293799999999
2012-11-16,1,85,3162.0390999999986
2012-11-16,1,87,48136.24749999998
2012-11-16,1,90,93105.11610000009
2012-11-16,1,91,68227.38980000002
2012-11-16,1,92,100000.0
2012-11-16,1,93,82960.52159999992
2012-11-16,1,94,61321.597999999976
2012-11-16,1,95,100000.0
2012-11-16,1,96,31865.595899999986
2012-11-16,1,97,36410.25420000001
2012-11-16,1,98,15072.845000000012
2012-11-23,1,1,21567.943100000004
2012-11-23,1,2,46954.236399999965
2012-11-23,1,3,10152.468400000007
2012-11-23,1,4,44001.03110000002
2012-11-23,1,5,66587.8248
2012-11-23,1,6,21352.804400000005
2012-11-23,1,7,79450.23929999997
2012-11-23,1,8,36880.896400000005
2012-11-23,1,9,40937.140500000016
2012-11-23,1,10,30619.51059999997
2012-11-23,1,11,28178.397700000023
2012-11-23,1,12,9189.127599999998
2012-11-23,1,13,37983.13109999998
2012-11-23,1,14,51212.96840000003
2012-11-23,1,16,8160.066899999994
2012-11-23,1,17,11730.171199999997
2012-11-23,1,18,25293.239300000012
2012-11-23,1,19,1186.0320999999997
2012-11-23,1,20,4932.145100000002
2012-11-23,1,21,9717.228200000005
2012-11-23,1,22,16921.471900000015
2012-11-23,1,23,32131.11360000003
2012-11-23,1,24,13287.541
2012-11-23,1,25,12122.10309999999
2012-11-23,1,26,9143.539600000011
2012-11-23,1,27,2015.7879000000016
2012-11-23,1,28,786.5650999999998
2012-11-23,1,29,5855.107300000002
2012-11-23,1,30,2681.6305999999995
2012-11-23,1,31,1632.753299999999
2012-11-23,1,32,9229.277800000002
2012-11-23,1,33,10533.929499999986
2012-11-23,1,34,14361.589000000005
2012-11-23,1,35,2931.514099999998
2012-11-23,1,36,2652.7098000000005
2012-11-23,1,37,2665.6970000000015
2012-11-23,1,38,63463.211900000024
2012-11-23,1,40,59605.41529999999
2012-11-23,1,41,2580.3963000000017
2012-11-23,1,42,7523.559399999998
2012-11-23,1,44,7471.7576999999965
2012-11-23,1,46,18854.904700000025
2012-11-23,1,48,3120.6395
2012-11-23,1,49,9101.5408
2012-11-23,1,52,3112.2037999999993
2012-11-23,1,54,46.27720000000005
2012-11-23,1,55,45598.878000000004
2012-11-23,1,56,1488.745999999999
2012-11-23,1,58,4109.469399999999
2012-11-23,1,59,1197.0359999999996
2012-11-23,1,60,956.3103000000006
2012-11-23,1,67,7172.961700000003
2012-11-23,1,71,5031.392899999999
2012-11-23,1,72,95181.38790000003
2012-11-23,1,74,17944.545399999988
2012-11-23,1,79,31605.31
2012-11-23,1,80,18862.389100000015
2012-11-23,1,81,30618.852100000004
2012-11-23,1,82,22439.805600000014
2012-11-23,1,83,5271.178299999997
2012-11-23,1,85,3577.956599999998
2012-11-23,1,87,47742.563800000025
2012-11-23,1,90,94485.08610000001
2012-11-23,1,91,61036.65299999998
2012-11-23,1,92,100000.0
2012-11-23,1,93,83620.08300000004
2012-11-23,1,94,69481.07050000002
2012-11-23,1,95,100000.0
2012-11-23,1,96,40350.69160000003
2012-11-23,1,97,34287.55750000002
2012-11-23,1,98,19753.455800000003
2012-11-23,1,99,2881.5449
2012-11-30,1,1,35086.01630000001
2012-11-30,1,2,47678.51969999999
2012-11-30,1,3,9988.8657
2012-11-30,1,4,43245.465299999996
2012-11-30,1,5,43229.94929999998
2012-11-30,1,6,7648.714099999999
2012-11-30,1,7,47381.99059999999
2012-11-30,1,8,36980.5137
2012-11-30,1,9,40101.98100000002
2012-11-30,1,10,29511.993899999958
2012-11-30,1,11,27513.76080000002
2012-11-30,1,12,7937.792599999995
2012-11-30,1,13,37050.130799999984
2012-11-30,1,14,36994.12240000002
2012-11-30,1,16,7223.9775999999965
2012-11-30,1,17,11285.520400000005
2012-11-30,1,18,24614.541500000003
2012-11-30,1,19,1260.5371999999995
2012-11-30,1,20,4214.429500000003
2012-11-30,1,21,8508.733199999995
2012-11-30,1,22,12372.854600000002
2012-11-30,1,23,27967.590900000017
2012-11-30,1,24,9224.822800000002
2012-11-30,1,25,11286.5784
2012-11-30,1,26,6769.5219
2012-11-30,1,27,1696.871700000001
2012-11-30,1,28,808.3168000000004
2012-11-30,1,29,6103.0644999999995
2012-11-30,1,30,2602.164799999998
2012-11-30,1,31,1624.2772999999988
2012-11-30,1,32,7615.038999999998
2012-11-30,1,33,7234.088899999998
2012-11-30,1,34,12838.664
2012-11-30,1,35,2607.7467999999994
2012-11-30,1,36,2401.3694999999993
2012-11-30,1,37,2461.6832999999997
2012-11-30,1,38,67740.25279999999
2012-11-30,1,40,59177.262800000004
2012-11-30,1,41,2027.6977000000002
2012-11-30,1,42,7334.785800000003
2012-11-30,1,44,7146.313099999997
2012-11-30,1,45,32.55210000000001
2012-11-30,1,46,18148.986
2012-11-30,1,48,3080.3201
2012-11-30,1,49,9399.074900000001
2012-11-30,1,52,2587.738700000001
2012-11-30,1,54,47.06740000000004
2012-11-30,1,55,29114.787400000034
2012-11-30,1,56,1031.0694999999996
2012-11-30,1,58,3626.27
2012-11-30,1,59,1946.5911999999992
2012-11-30,1,60,964.0400000000003
2012-11-30,1,67,7513.038300000003
2012-11-30,1,71,3339.7676000000006
2012-11-30,1,72,55358.68260000003
2012-11-30,1,74,10677.1904
2012-11-30,1,79,29973.095000000023
2012-11-30,1,80,18064.584000000003
2012-11-30,1,81,29347.56330000001
2012-11-30,1,82,20443.59110000001
2012-11-30,1,83,5028.622799999998
2012-11-30,1,85,3548.8133999999973
2012-11-30,1,87,48343.5016
2012-11-30,1,90,89112.3419
2012-11-30,1,91,58351.60610000001
2012-11-30,1,92,100000.0
2012-11-30,1,93,77527.75630000005
2012-11-30,1,94,69172.74710000002
2012-11-30,1,95,99775.24789999999
2012-11-30,1,96,35844.03319999998
2012-11-30,1,97,32351.137800000008
2012-11-30,1,98,16237.008500000018
2012-11-30,1,99,2858.5002000000004
2012-12-07,1,1,47797.68439999998
2012-12-07,1,2,49562.4076
2012-12-07,1,3,14227.611100000004
2012-12-07,1,4,40784.1435
2012-12-07,1,5,51259.54669999999
2012-12-07,1,6,10692.581000000004
2012-12-07,1,7,73355.80220000002
2012-12-07,1,8,58712.154700000014
2012-12-07,1,9,38262.5101
2012-12-07,1,10,30683.780799999997
2012-12-07,1,11,31464.436500000007
2012-12-07,1,12,10623.234000000004
2012-12-07,1,13,41052.64329999999
2012-12-07,1,14,41536.36910000004
2012-12-07,1,16,8696.259000000004
2012-12-07,1,17,17595.7037
2012-12-07,1,18,72192.3733
2012-12-07,1,19,1323.4158999999997
2012-12-07,1,20,4690.468400000001
2012-12-07,1,21,10008.4975
2012-12-07,1,22,10400.208000000002
2012-12-07,1,23,43236.43800000001
2012-12-07,1,24,15369.25189999999
2012-12-07,1,25,12020.22340000001
2012-12-07,1,26,8085.865899999996
2012-12-07,1,27,5547.147800000001
2012-12-07,1,28,738.1764000000003
2012-12-07,1,29,10452.88149999999
2012-12-07,1,30,2432.5455
2012-12-07,1,31,4717.281700000001
2012-12-07,1,32,21667.50729999999
2012-12-07,1,33,17371.02760000001
2012-12-07,1,34,13355.1171
2012-12-07,1,35,2755.705699999998
2012-12-07,1,36,1910.9216000000008
2012-12-07,1,37,2775.437499999998
2012-12-07,1,38,80849.62339999998
2012-12-07,1,40,61663.129499999966
2012-12-07,1,41,1677.1446000000005
2012-12-07,1,42,7285.485899999995
2012-12-07,1,44,7084.631799999998
2012-12-07,1,45,19.33220000000002
2012-12-07,1,46,37589.456199999986
2012-12-07,1,48,1957.19
2012-12-07,1,49,10171.332099999994
2012-12-07,1,52,2928.5207
2012-12-07,1,54,68.11260000000007
2012-12-07,1,55,21961.462000000003
2012-12-07,1,56,1955.8048999999999
2012-12-07,1,58,4125.086699999999
2012-12-07,1,59,6060.048099999998
2012-12-07,1,60,1420.2519999999995
2012-12-07,1,67,9785.084000000008
2012-12-07,1,71,2682.545399999999
2012-12-07,1,72,59316.36950000002
2012-12-07,1,74,10181.514200000005
2012-12-07,1,79,42067.94660000001
2012-12-07,1,80,20574.886000000013
2012-12-07,1,81,32959.215599999996
2012-12-07,1,82,45082.04410000003
2012-12-07,1,83,5944.6739
2012-12-07,1,85,5646.872300000005
2012-12-07,1,87,58126.13129999998
2012-12-07,1,90,94520.62840000007
2012-12-07,1,91,71148.22320000001
2012-12-07,1,92,100000.0
2012-12-07,1,93,84634.75689999993
2012-12-07,1,94,60387.625100000005
2012-12-07,1,95,99936.7695
2012-12-07,1,96,35499.09479999999
2012-12-07,1,97,38082.41440000001
2012-12-07,1,98,13951.105500000012
2012-12-07,1,99,1640.1652999999997
2012-12-14,1,1,44552.74889999998
2012-12-14,1,2,49359.00299999995
2012-12-14,1,3,12307.333100000003
2012-12-14,1,4,38717.62370000002
2012-12-14,1,5,43751.81709999998
2012-12-14,1,6,8038.527800000007
2012-12-14,1,7,61251.50809999998
2012-12-14,1,8,37177.19009999998
2012-12-14,1,9,27950.069900000017
2012-12-14,1,10,29735.955399999988
2012-12-14,1,11,29896.353200000012
2012-12-14,1,12,7629.231599999998
2012-12-14,1,13,36749.2036
2012-12-14,1,14,23692.38960000001
2012-12-14,1,16,5312.582000000002
2012-12-14,1,17,11390.6185
2012-12-14,1,18,33950.55360000001
2012-12-14,1,19,1400.8419999999996
2012-12-14,1,20,3433.5438000000013
2012-12-14,1,21,9338.0987
2012-12-14,1,22,10699.649699999994
2012-12-14,1,23,31780.583899999998
2012-12-14,1,24,11177.207399999992
2012-12-14,1,25,11140.350300000002
2012-12-14,1,26,8245.579699999995
2012-12-14,1,27,3069.540000000002
2012-12-14,1,28,779.6932000000002
2012-12-14,1,29,7205.663399999998
2012-12-14,1,30,2339.249
2012-12-14,1,31,3861.617699999998
2012-12-14,1,32,15304.327500000005
2012-12-14,1,33,10737.017799999998
2012-12-14,1,34,13334.722599999994
2012-12-14,1,35,2773.2252999999996
2012-12-14,1,36,2470.0468999999994
2012-12-14,1,37,2446.3897
2012-12-14,1,38,75830.86530000003
2012-12-14,1,40,60829.27550000005
2012-12-14,1,41,1532.5041
2012-12-14,1,42,6733.863799999999
2012-12-14,1,44,6728.0151000000005
2012-12-14,1,46,29797.646700000012
2012-12-14,1,48,2003.79
2012-12-14,1,49,9942.33
2012-12-14,1,52,2820.923500000001
2012-12-14,1,54,52.40000000000005
2012-12-14,1,55,21692.898
2012-12-14,1,56,1547.2175999999984
2012-12-14,1,58,4376.999699999999
2012-12-14,1,59,4210.393899999999
2012-12-14,1,60,1490.0119999999997
2012-12-14,1,67,8687.074000000002
2012-12-14,1,71,2729.2516999999993
2012-12-14,1,72,56477.26680000003
2012-12-14,1,74,9705.460000000006
2012-12-14,1,79,32691.7635
2012-12-14,1,80,19239.6577
2012-12-14,1,81,31044.587699999985
2012-12-14,1,82,30705.637699999996
2012-12-14,1,83,5670.820099999998
2012-12-14,1,85,6143.416900000006
2012-12-14,1,87,47665.12529999999
2012-12-14,1,90,93212.61240000011
2012-12-14,1,91,68126.29879999995
2012-12-14,1,92,100000.0
2012-12-14,1,93,79529.51589999995
2012-12-14,1,94,57121.938400000014
2012-12-14,1,95,99936.7695
2012-12-14,1,96,31206.755199999992
2012-12-14,1,97,36358.9833
2012-12-14,1,98,14585.525900000008
2012-12-14,1,99,1018.1991
2012-12-21,1,1,58907.77050000006
2012-12-21,1,2,55420.75410000002
2012-12-21,1,3,12732.486900000007
2012-12-21,1,4,40904.62110000001
2012-12-21,1,5,62472.72400000003
2012-12-21,1,6,14556.069999999998
2012-12-21,1,7,87113.81550000001
2012-12-21,1,8,49804.20710000001
2012-12-21,1,9,37556.0975
2012-12-21,1,10,30254.170299999983
2012-12-21,1,11,29617.771100000016
2012-12-21,1,12,9795.183600000002
2012-12-21,1,13,36983.80810000002
2012-12-21,1,14,44905.973900000005
2012-12-21,1,16,6536.295299999994
2012-12-21,1,17,18203.410499999998
2012-12-21,1,18,43638.26410000001
2012-12-21,1,19,2108.8385000000007
2012-12-21,1,20,4569.730600000001
2012-12-21,1,21,11055.124300000001
2012-12-21,1,22,12081.9173
2012-12-21,1,23,50929.38099999999
2012-12-21,1,24,13681.46179999999
2012-12-21,1,25,12461.905599999998
2012-12-21,1,26,9781.339099999997
2012-12-21,1,27,5581.450599999998
2012-12-21,1,28,833.4216
2012-12-21,1,29,10389.495299999991
2012-12-21,1,30,2222.930400000001
2012-12-21,1,31,5657.892999999998
2012-12-21,1,32,47088.61679999999
2012-12-21,1,33,16562.35879999999
2012-12-21,1,34,13709.8663
2012-12-21,1,35,3039.731999999999
2012-12-21,1,36,3352.4741999999987
2012-12-21,1,37,2699.1665999999996
2012-12-21,1,38,70960.10680000001
2012-12-21,1,40,60232.07
2012-12-21,1,41,2665.0344000000005
2012-12-21,1,42,7127.555799999995
2012-12-21,1,44,7094.457400000001
2012-12-21,1,46,47397.72679999996
2012-12-21,1,47,-74.8958
2012-12-21,1,48,2461.2412
2012-12-21,1,49,10026.518999999998
2012-12-21,1,52,2936.7410000000004
2012-12-21,1,54,75.10320000000006
2012-12-21,1,55,29078.247100000015
2012-12-21,1,56,1001.0701999999992
2012-12-21,1,58,4321.8394
2012-12-21,1,59,9945.5488
2012-12-21,1,60,1401.4780000000005
2012-12-21,1,67,12991.406300000004
2012-12-21,1,71,3143.4206999999988
2012-12-21,1,72,72570.43570000002
2012-12-21,1,74,13033.46229999999
2012-12-21,1,79,31583.642500000027
2012-12-21,1,80,19855.31110000001
2012-12-21,1,81,30503.94009999999
2012-12-21,1,82,53449.33730000006
2012-12-21,1,83,5566.045899999998
2012-12-21,1,85,6867.153300000008
2012-12-21,1,87,48608.11269999997
2012-12-21,1,90,89305.69750000004
2012-12-21,1,91,64185.36769999995
2012-12-21,1,92,100000.0
2012-12-21,1,93,80065.56459999998
2012-12-21,1,94,65412.31930000002
2012-12-21,1,95,99936.7695
2012-12-21,1,96,36924.55209999999
2012-12-21,1,97,36964.461800000005
2012-12-21,1,98,16922.651400000017
2012-12-21,1,99,1578.0516999999998
2012-12-28,1,1,22220.2663
2012-12-28,1,2,49292.66950000002
2012-12-28,1,3,10821.805999999993
2012-12-28,1,4,39560.753100000045
2012-12-28,1,5,59768.1687
